# MIGRATION-DEBT — every source reader in this workspace that still names a file.
#
# **This list only shrinks.** A row is removed by the ticket that migrates its
# reader onto `bt-source`; no ticket may add one. `scripts/ci/check-migration-debt.ps1`
# compares this file with the merge base and fails on an added row.
#
# **It is temporary.** It reaches zero at P20 of `docs/plans/bt-app-split-prep.md`,
# and it is deleted when it does.
#
# **It is not a completeness proof.** It was seeded from a census
# (`bt-app-split-pins-2026-09-21.tsv`, taken at 1f1d2daa) plus a lexical sweep,
# and both under-report by construction: a reader assembled at run time, or one
# split across two functions, is in neither. The tripwire
# (`crates/bt-source/tests/tripwire.rs`) reads fewer rows still — it scans `.rs`
# and `.ps1` only, so the three Python generators below are on this list and out
# of its reach. A reader with no row here and no allowlist variant is a gap, and
# finding one is a finding, not a reason to widen either list.
#
# **The sweep over-reported as well, and a row may go because it was never a
# reader.** 98 rows whose mechanism read `source text read` were the lexical
# seed matching a string that ends in `.rs` — a fixture path, a buffer's
# identity, a name a grammar lookup is asked about — inside a test that reads no
# source at all. Every one was opened and read before it went, and the reasons
# are in the commit that removed them. That is the only second way off this
# list: a reading, written down, of why the row was never true. The tripwire is
# what makes it safe rather than merely tidy — it matches by file, so a row
# struck wrongly in a file with no other row leaves that file uncovered and the
# guard goes red naming it.
#
# The other list is the file-scoped allowlist, `bt_source::FileScoped`: readers
# whose concern really is a file. It is permanent and it has three entries.
#
# ticket: the ticket of `docs/plans/bt-app-split-prep.md` §§6.3/6.5 that will
# migrate the row. Assigned by the plan's own batching — body pins P3/P14,
# counts P4/P15, negatives and text scopes P5/P15, `file_reads_doors.txt` P6/P16,
# walkers P7/P8/P12/P13, cross-crate and script readers P17, the documentation
# generators P0 (§6.6) — with the first number where Step 2a disturbs the row and
# the second where it does not. A ticket may re-claim a row; it may not add one.
#
# disturbed_by_2a: the census's own answer, from the `impact` column of the pins
# TSV. It is not a prediction that the reader will turn red — see §5 of
# `bt-app-split-inventory-2026-09-21.md`, which is about exactly that confusion.
file	owner	mechanism	subject	ticket	disturbed_by_2a
crates/bt-app/src/animation.rs	animation::tests::a_declared_screen_this_window_will_not_hold_is_refused_before_it_is_allocated	include_str!	open	P14	no
crates/bt-app/src/animation.rs	animation::tests::a_gif_past_the_encoded_cap_is_not_read_whole	include_str!	decode;file_source	P14	no
crates/bt-app/src/animation.rs	animation::tests::the_loop_comes_round_by_seeking_the_file_not_by_holding_it	include_str!	start_again	P14	no
crates/bt-app/src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_could_not_be_read_is_never_written_over	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_is_not_there_is_the_one_that_gets_created	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_is_there_is_copied_before_it_is_changed	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_codex.rs	attention_codex::tests::an_unreadable_configuration_file_is_never_written_over	include_str!	attention_codex.rs	P14	no
crates/bt-app/src/attention_codex.rs	attention_codex::tests::the_line_this_installs_is_this	include_str!	../../../docs/plans/attention/codex-notify.toml	P14	no
crates/bt-app/src/attention_codex.rs	attention_codex::tests::the_only_file_this_writes_is_the_one_the_environment_names	include_str!	attention_codex.rs	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::a_file_at_our_name_that_is_not_ours_is_left_exactly_where_it_is	include_str!	attention_copilot.rs	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::a_hook_file_that_could_not_be_read_is_never_written_over	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::a_mac_install_writes_direct_exec_without_shell_quoting	fixture / manifest read	(the file it reads)	P14	no
crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::attention_two_live_copies_require_takeover_and_preserve_bytes	fixture / manifest read	(the file it reads)	P14	no
