# The shapes a source reader takes — the P3, P14, P16 rows of docs/plans/MIGRATION-DEBT.tsv, classified.
# Generated by: python scripts/dev/bt-app-reader-shapes.py
# Read-only, re-runnable; the rows come out in the debt list's order.
# mechanical: yes = a converter can rewrite the site and a person need not read it; partial = a converter can propose the rewrite and a person must read the result; no = a person decides.
# row: the line of MIGRATION-DEBT.tsv this came from.
row	ticket	file	test	shape	reader	selectors	assertion	mechanical	reason
D0033	P14	crates/bt-app/src/animation.rs	animation::tests::a_declared_screen_this_window_will_not_hold_is_refused_before_it_is_allocated	N-whole-file-negative	SOURCE;animation.rs	AnimationCursor::over(;MAX_ANIMATION_FRAME_BYTES;MAX_ANIMATION_SIDE_PX;\nfn open(;\n}\n;a {side}-square logical screen is over this window's ceiling;and against what one frame of it would cost;and it ends;and the canvas comes after;animation.rs;next_frames(;the container walk is a free function in this file;the declared screen is judged against the side this window can draw;the judge does not deco	!contains,equals,position	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0034	P14	crates/bt-app/src/animation.rs	animation::tests::a_gif_past_the_encoded_cap_is_not_read_whole	N-whole-file-negative	SOURCE;animation.rs	\nfn file_source(;\npub fn decode(;\n}\n;a file is read behind a cap and not whole:\n{reader};a file of a declared length;a file past the cap is refused on its length, and says so;a file this test owns;and it ends;animation.rs;fs::read(;past-the-cap;the file reader is a free function in this file	!contains,equals,position	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0035	P14	crates/bt-app/src/animation.rs	animation::tests::the_loop_comes_round_by_seeking_the_file_not_by_holding_it	N-whole-file-negative	SOURCE;animation.rs	    fn start_again(&mut self) -> bool {;Arc::clone(&self.bytes);Arc<[u8]>;\n    }\n;\n}\n;a file-backed animation opens;and it ends;and not a second reader over a held copy of the file:\n{again};and the second, which begins at frame zero again;animation.rs;coming round is a seek on the source:\n{again};pub struct AnimationCursor {;restart();the cursor holds no copy of the file:\n{declared};the cur	!contains,contains,equals,position	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0036	P14	crates/bt-app/src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_could_not_be_read_is_never_written_over	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0037	P14	crates/bt-app/src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_is_not_there_is_the_one_that_gets_created	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0038	P14	crates/bt-app/src/attention_codex.rs	attention_codex::tests::a_configuration_file_that_is_there_is_copied_before_it_is_changed	Q-runtime-file		(the file it reads)	contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0039	P14	crates/bt-app/src/attention_codex.rs	attention_codex::tests::an_unreadable_configuration_file_is_never_written_over	W-whole-file	attention_codex.rs	attention_codex.rs;is not one this build can read;model = = \"gpt-5\"\n	contains	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0040	P14	crates/bt-app/src/attention_codex.rs	attention_codex::tests::the_line_this_installs_is_this	F-fixture	EXPECTED_LINE	../../../docs/plans/attention/codex-notify.toml	equals	no	the reading's subject is not Rust source (../../../docs/plans/attention/codex-notify.toml): `bt-source` enumerates a crate's declarations and has no answer for a document or a fixture
D0041	P14	crates/bt-app/src/attention_codex.rs	attention_codex::tests::the_only_file_this_writes_is_the_one_the_environment_names	N-whole-file-negative	attention_codex.rs	;C:\Users\someone;D:\scratch\codex-home;_dir;`{reaching}` would let a working directory decide where automation is written;attention_codex.rs;current;project	!contains,edge,equals	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0042	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::a_file_at_our_name_that_is_not_ours_is_left_exactly_where_it_is	W-whole-file	attention_copilot.rs	:;:1,;:[{;:{;a bare program cannot prove ownership: {column};a hook file of your own already stands under that name;agentStop;array;attention_copilot.rs;bash;command;fixture;hooks;is not one this build can read;it does carry our block, which is exactly why the name is not enough;powershell;say done;version;{;{{;}]}};}}	contains	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0043	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::a_hook_file_that_could_not_be_read_is_never_written_over	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0044	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::a_mac_install_writes_direct_exec_without_shell_quoting	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0045	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::attention_two_live_copies_require_takeover_and_preserve_bytes	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0046	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::every_command_says_which_upstream_it_speaks_for_and_hands_over_nothing	Q-runtime-file		(the file it reads)	edge,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0047	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::taking_it_back_out_leaves_the_directory_that_was_there	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0048	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_file_this_installs_is_this	F-fixture	EXPECTED_FILE	../../../docs/plans/attention/copilot-hooks.json	equals	no	the reading's subject is not Rust source (../../../docs/plans/attention/copilot-hooks.json): `bt-source` enumerates a crate's declarations and has no answer for a document or a fixture
D0049	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_notification_hook_is_narrowed_to_the_two_subtypes_that_are_waits	Q-runtime-file		(the file it reads)	!contains,contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0050	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_only_file_this_writes_is_the_one_the_environment_names	N-whole-file-negative	attention_copilot.rs	;C:\Users\someone;D:\scratch\copilot-home;_dir;`{reaching}` would let a working directory decide where automation is written;attention_copilot.rs;current;project;upstream loads *.json from the hooks directory, and only from there	!contains,edge,equals	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0051	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::the_settings_file_is_read_and_never_written	N-whole-file-negative	attention_copilot.rs	:false};:true};_path;attention_copilot.rs;fixture;the user's settings file is somebody else's and this module only reads it;write(&settings;{;{text};{}	!contains,edge,equals	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0052	P14	crates/bt-app/src/attention_copilot.rs	attention_copilot::tests::what_is_written_never_carries_two_layers_of_one_request	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0053	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_copy_that_cannot_be_kept_refuses_to_write	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0054	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_dead_owner_can_be_replaced_after_moving_folio	Q-runtime-file		(the file it reads)	contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0055	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_landing_is_whole_or_it_is_nothing_at_all	N-whole-file-negative	attention_codex.rs;attention_copilot.rs;attention_hooks.rs	#[cfg(;and the target is replaced through the one atomic writer;atomic_write(;attention_codex;attention_codex.rs;attention_copilot;attention_copilot.rs;attention_hooks.rs;bt_persist::;config.;fs::;land(;test)];the only raw write left in this module is `land`'s dated copy;write(;{name} must land its bytes through the one writer, on the one resolution;{name} writes a configuration file behind `land`	!contains,contains,count	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0056	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_notification_subtype_is_registered_as_a_matcher	Q-runtime-file		(the file it reads)	!contains,contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0057	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_settings_file_that_could_not_be_read_is_never_written_over	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0058	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_settings_file_that_is_not_there_is_the_one_that_gets_created	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0059	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::a_settings_file_that_is_there_is_copied_before_it_is_changed	Q-runtime-file		(the file it reads)	contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0060	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::attention_two_live_copies_require_takeover_and_preserve_bytes	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0061	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::installing_twice_changes_nothing_the_second_time	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0062	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::no_hook_this_writes_can_hold_up_an_approval	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0063	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::taking_them_back_out_leaves_what_was_there	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0064	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::the_block_a_mac_installs_is_the_same_direct_exec_block	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0065	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::the_block_this_installs_is_this	F-fixture	EXPECTED_BLOCK	../../../docs/plans/attention/claude-hooks.json	equals	no	the reading's subject is not Rust source (../../../docs/plans/attention/claude-hooks.json): `bt-source` enumerates a crate's declarations and has no answer for a document or a fixture
D0066	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::the_only_file_this_writes_is_the_one_the_environment_names	N-whole-file-negative	attention_hooks.rs	;C:\Users\someone;D:\scratch\claude-home;_dir;`{reaching}` would let a working directory decide where automation is written;attention_hooks.rs;current;project	!contains,edge,equals	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0067	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::what_is_written_never_carries_two_layers_of_one_request	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0068	P14	crates/bt-app/src/attention_hooks.rs	attention_hooks::tests::what_lands_is_the_file_and_nothing_beside_it	Q-runtime-file		read	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0069	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_a_linked_config_is_edited_at_its_target_inside_the_agents_folder	Q-runtime-file		(the file it reads)	!contains,contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0070	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_a_strangers_program_is_never_folios	Q-runtime-file		(the file it reads)	contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0071	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_an_operation_resolves_its_configuration_once	Q-runtime-file		target	contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0072	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_codex_takeover_never_replaces_a_user_notifier	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0073	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_malformed_future_schema_and_readonly_are_byte_identical	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0074	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_only_one_function_resolves_a_configuration_path	N-whole-file-negative	attention_codex.rs;attention_copilot.rs;attention_hooks.rs;main.rs;settings.rs	 ;#[cfg(;///;_target;_target(path: &Path);attention_codex;attention_codex.rs;attention_copilot;attention_copilot.rs;attention_hooks.rs;editable;fn editable;main;main.rs;pub(crate) fn editable;settings;settings.rs;test)];the definition, and the one call in `Config::resolve`;{name} resolves a configuration path of its own	!contains,contains,count,edge,slice	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0075	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_relative_operand_names_nobody_and_is_removable	Q-runtime-file		remove	!contains,equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0076	P14	crates/bt-app/src/attention_ownership.rs	attention_ownership::tests::attention_untrusted_executable_and_bad_record_refuse_without_config_changes	Q-runtime-file		(the file it reads)	equals	no	the test reads a file it created at run time, not source text. `bt-source` enumerates a crate's declarations and has no answer for it: the row belongs to §6.1's file-scoped allowlist or to a decision that it never was a source reader
D0077	P14	crates/bt-app/src/cli.rs	cli::tests::a_flag_and_a_positional_folder_is_a_contradiction_and_the_flag_wins	S-no-source-read			equals	no	no source-reading construction in this test: no const in scope, no `include_str!`, no manifest-relative read, no local finder. A candidate hit of the debt list's lexical seed on a `.rs` path spelled as data — read the site before the row is removed
D0078	P14	crates/bt-app/src/cli.rs	cli::tests::one_command_line_can_carry_a_folder_a_profile_and_a_document	S-no-source-read			equals	no	no source-reading construction in this test: no const in scope, no `include_str!`, no manifest-relative read, no local finder. A candidate hit of the debt list's lexical seed on a `.rs` path spelled as data — read the site before the row is removed
D0079	P14	crates/bt-app/src/clipboard_picture.rs	clipboard_picture::tests::every_encoding_is_judged_by_the_one_ceiling	W-whole-file	SOURCE;clipboard_picture.rs	\n        PictureEncoding::;\n}\n;a picture this process will not carry is refused;an encoding is decoded without its shape being judged:\n{arm};an encoding was added or removed:\n{dispatch};and an ordinary screenshot is a picture this paste decodes;ceiling;clipboard_picture.rs;fn png_from(picture: &PictureBytes) -> Result<Vec<u8>, String> {;fn png_from_dib(dib: &[u8]) -> Result<Vec<u8>, String> {	contains,equals,position,slice	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0083	P14	crates/bt-app/src/diagnostics.rs	diagnostics::tests::a_run_heads_its_log_before_anything_else_can_write_into_it	N-whole-file-negative	DIAGNOSTICS	2026-09-20T01:02:03.456Z;2026-09-20T01:03:00.000Z;Folio: the window thread held control for 3971 ms on turn 15341;\npub fn open_run_log(;a run with a log already there measures against when it was last written;and everything the run says afterwards is under its own header;append_note(&log, &run_header(;diagnostics.log opens with `{header}`, and that first line is what \              smoke.ps1's la	!contains,contains,equals,slice	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0084	P14	crates/bt-app/src/diagnostics.rs	diagnostics::tests::nothing_branches_on_the_two_console_no_ops	W-whole-file	DIAGNOSTICS;MAIN;main.rs	    bt_platform::{call}();\n;\nfn main() -> Result<()> {;`{call}` is named twice in that function in {where_it_is}, so \                  one of the two is reading what it answers:\n{caller};`{call}` is not called for its effect alone in {where_it_is}; a \                  platform whose answer to it is a constant would be taking a \                  branch on that constant:\n{caller};adopt_parent	contains,count	no	the reading's scope is the file itself. §4.1 and §4.2 rule 2 make the replacement scope (`Everything`, `Module`, `Item`) a decision per site, and a tool that guessed would widen a negative
D0085	P14	crates/bt-app/src/file_peek.rs	file_peek::tests::crossing_the_rows_under_the_corridor_does_not_move_the_card_but_resting_does	S-no-source-read			equals	no	no source-reading construction in this test: no const in scope, no `include_str!`, no manifest-relative read, no local finder. A candidate hit of the debt list's lexical seed on a `.rs` path spelled as data — read the site before the row is removed
D0086	P14	crates/bt-app/src/file_peek.rs	file_peek::tests::the_cards_middle_is_left_to_the_document_and_written_by_nobody_else	S-no-source-read			none	no	no source-reading construction in this test: no const in scope, no `include_str!`, no manifest-relative read, no local finder. A candidate hit of the debt list's lexical seed on a `.rs` path spelled as data — read the site before the row is removed
D0087	P16	crates/bt-app/src/file_reads_doors.txt	animation.rs: file_source_in_lane: FileAnimationSource::open	L-ledger-key	file_reads_doors.txt	animation.rs: file_source_in_lane: FileAnimationSource::open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0088	P16	crates/bt-app/src/file_reads_doors.txt	animation.rs: first_frame: open	L-ledger-key	file_reads_doors.txt	animation.rs: first_frame: open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
D0089	P16	crates/bt-app/src/file_reads_doors.txt	animation.rs: open_in_lane: std::fs::File::open	L-ledger-key	file_reads_doors.txt	animation.rs: open_in_lane: std::fs::File::open	ledger key equality	no	not a reader with a test function: a key in a plain-text ledger whose first field is a file name. Re-keying it is P6/P16's own edit and there is no expression to rewrite
